ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,quartet_psi1,quartet_psi2,quartet_psi3,quartet_psi4,quartet_psi1_N,quartet_psi2_N,quartet_psi3_N,quartet_psi4_N,quartet_N,quartet_psi1_pp,quartet_psi2_pp,quartet_psi3_pp,length_subs_per_site,length_coalescent
508,30.36,2.38,1.19,66.07,51,4,2,111,168,55.31,25.15,19.54,0,123.09,56,43.52,0,222.612,52.86,24.23,22.91,0,88.8,40.71,38.48,0,168,1,0,0,0.00327166,0.00473941
509,67.23,1.13,0.56,31.07,119,2,1,55,177,64.94,21.29,13.77,0,46.75,15.38,9.93,0,72.064,83.49,8.76,7.75,0,147.78,15.5,13.72,0,177,1,0,0,0.00753079,0.0210414
510,44.64,19.05,17.26,19.05,75,32,29,32,168,36.6,32.37,31.03,0,27,23.91,22.92,0,73.823,52.15,26.31,21.54,0,87.61,44.2,36.19,0,168,1,0,0,0.00249271,0.00557899
511,59.88,14.2,11.73,14.2,97,23,19,23,162,77.04,13,9.96,0,243.31,41.08,31.46,0,315.85,65.46,18.49,16.05,0,106.05,29.96,26,0,162,1,0,0,0.00323686,0.0092461
512,47.78,7.22,5.56,39.44,86,13,10,71,180,45.44,29.17,25.4,0,47.32,30.41,26.48,0,104.211,62.79,19.17,18.04,0,113.03,34.51,32.47,0,180,1,0,0,0.00350145,0.00865261
513,38.65,22.7,22.7,15.95,63,37,37,26,163,54.94,24.57,20.49,0,210.56,94.18,78.56,0,383.297,45.73,28.65,25.62,0,74.54,46.69,41.77,0,163,1,0,0,0.00239483,0.00290926
514,95.98,0.5,0,3.52,191,1,0,7,199,93.72,3.83,2.45,0,219.56,8.99,5.75,0,234.302,97.79,1.26,0.94,0,194.61,2.51,1.88,0,199,1,0,0,0.0180237,0.0492526
515,57.24,21.71,20.39,0.66,87,33,31,1,152,60.07,21.13,18.8,0,116.4,40.94,36.43,0,193.777,57.29,21.71,20.99,0,87.08,33,31.91,0,152,1,0,0,0.00154026,0.00625887
516,77.07,0.64,0,22.29,121,1,0,35,157,77.44,13.08,9.48,0,121.57,20.57,14.93,0,157.067,87.19,6.42,6.4,0,136.88,10.07,10.04,0,157,1,0,0,0.0124195,0.0218958
517,45.59,24.26,23.53,6.62,62,33,32,9,136,51.29,24.89,23.82,0,146.55,71.13,68.08,0,285.766,49.93,25.54,24.53,0,67.9,34.74,33.36,0,136,1,0,0,0.00293127,0.00622904
