"","name","n"
"189","RUTA_Zanthoxylum_ovalifolium_GAP83237","32=0.091_34=0.091_68=0.091_33=0.091_53=0.091_35=0.091_66=0.091_36=0.091_12=0.091_18=0.091_72=0.09"
"190","RUTA_Zanthoxylum_xxlavum_IDS6491","32=0.091_34=0.091_68=0.091_33=0.091_53=0.091_35=0.091_66=0.091_36=0.091_12=0.091_18=0.091_72=0.09"
"191","RUTA_Zieria_alata_IDS10425","18=0.25_36=0.25_27=0.25_30=0.25"
"192","SIMA_Ailanthus_altissima_ERR2040477","32=0.25_40=0.25_31=0.25_43=0.25"
"193","SIMA_Ailanthus_triphysa_IDS10461","32=0.25_40=0.25_31=0.25_43=0.25"
"194","SIMA_Amaroria_soulameoides_IDS11843","X"
"195","SIMA_Castela_coccinea_IDS11901","13"
"196","SIMA_Eurycoma_longifolia_IDS10887","X"
"197","SIMA_Gymnostemon_zaizou_IDS11857","X"
"198","SIMA_Hannoa_klaineana_IDS11859","X"
"199","SIMA_Holacantha_emoryi_IDS11845","X"
"200","SIMA_Homalolepis_glabra_IDS11907","X"
"201","SIMA_Nothospondias_staudtii_IDS11849","X"
"202","SIMA_Odyendea_gabunensis_IDS11851","14=0.5_15=0.5"
"203","SIMA_Perriera_madagascariensis_IDS11853","X"
"204","SIMA_Picrasma_crenata_IDS11893","12=0.5_25=0.5"
"205","SIMA_Pierreodendron_africanum_IDS11855","X"
"206","SIMA_Quassia_amara_IDS10951","18"
"207","SIMA_Samadera_spTozerRange_IDP6813","X"
"208","SIMA_Simaba_orinocensis_IDS11895","X"
"209","SIMA_Simarouba_glauca_IDS10711","16"
