ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,SH_aLRT,UFBoot,length_subs_per_site
467,99.39,0,0,0.61,163,0,0,1,164,88.04,6.71,5.25,0,753.43,57.42,44.92,0,855.763,100,100,0.0683502
468,63.79,1.15,0.57,34.48,111,2,1,60,174,68.38,15.98,15.65,0,108.29,25.33,24.8,0,158.419,100,100,0.0217485
469,88.6,0.52,0.52,10.36,171,1,1,20,193,71.06,15.79,13.15,0,64.46,14.37,11.96,0,90.791,100,100,0.0381529
470,8.86,7.01,4.8,79.34,24,19,13,215,271,34.49,32.8,32.71,0,22.3,21.17,21.16,0,64.626,17.1,46,0.001435
471,5.9,5.56,3.47,85.07,17,16,10,245,288,34.15,33.42,32.43,0,28.43,27.83,27,0,83.247,81.1,48,0.00124364
472,8.55,5.13,5.13,81.2,20,12,12,190,234,29.55,41.55,28.91,0,26.82,37.78,26.32,0,90.922,96.7,98,0.0016598
473,26.05,15.35,6.51,52.09,56,33,14,112,215,51.46,31.65,16.89,0,173.32,106.62,56.88,0,336.811,100,100,0.00474779
474,21.28,3.4,2.98,72.34,50,8,7,170,235,38.11,33.6,28.29,0,62.51,55.12,46.43,0,164.062,99.8,100,0.00358094
475,21.69,2.41,1.2,74.7,54,6,3,186,249,50.2,28.24,21.56,0,55.67,31.32,23.97,0,110.959,100,100,0.00495352
476,25.59,21.8,15.17,37.44,54,46,32,79,211,36.75,32.23,31.02,0,111.97,98.19,94.51,0,304.672,77,99,0.00279369
477,60.87,6.96,4.35,27.83,140,16,10,64,230,68.23,16.07,15.71,0,204.55,48.18,47.1,0,299.828,100,100,0.0120671
478,45.51,3.85,1.28,49.36,71,6,2,77,156,54.57,26.5,18.93,0,30.81,15,10.72,0,56.539,100,100,0.0120926
479,85.12,3.26,1.4,10.23,183,7,3,22,215,77.23,13.64,9.13,0,98.69,17.47,11.7,0,127.853,100,100,0.032321
480,98.85,0.76,0,0.38,259,2,0,1,262,98.96,0.69,0.35,0,1401,9.76,4.97,0,1415.725,100,100,0.0428875
481,32.2,20.9,14.69,32.2,57,37,26,57,177,29.81,39.38,30.81,0,22.33,29.58,23.12,0,75.025,99.8,100,0.00496302
482,80.65,5.81,3.87,9.68,125,9,6,15,155,75.94,12.11,11.95,0,437.72,69.79,68.91,0,576.411,100,100,0.0202303
483,90.76,0.84,0.84,7.56,108,1,1,9,119,85.19,7.45,7.35,0,411.3,36,35.51,0,482.809,100,100,0.0425583
484,96.12,0.97,0,2.91,99,1,0,3,103,86.98,6.62,6.39,0,97.63,7.45,7.19,0,112.28,100,100,0.0671882
485,49.2,24.6,24.6,1.6,92,46,46,3,187,39.81,32.11,28.09,0,31.59,25.48,22.3,0,79.371,99.7,100,0.00596193
486,91.11,3.11,1.33,4.44,205,7,3,10,225,96.47,2.05,1.48,0,625.79,13.3,9.59,0,648.678,100,100,0.0176394
487,95.4,0,0,4.6,83,0,0,4,87,99.41,0.42,0.17,0,348.68,1.46,0.61,0,350.751,100,100,0.065267
488,72.73,0.61,0,26.67,120,1,0,44,165,60.31,23.28,16.41,0,50.41,19.52,13.75,0,83.683,100,100,0.0222385
489,54.79,2.66,2.13,40.43,103,5,4,76,188,57.87,26.67,15.46,0,26.35,12.24,7.1,0,45.693,100,100,0.0135597
490,13.33,4.67,4,78,20,7,6,117,150,36.25,40.12,23.63,0,23.42,25.92,15.26,0,64.602,99.4,100,0.00276715
491,6.45,5.91,1.08,86.56,12,11,2,161,186,34.92,34.25,30.83,0,55.77,54.73,49.27,0,159.768,97.2,100,0.00192747
492,2.62,3,1.87,92.51,7,8,5,247,267,33.26,36.52,30.22,0,47.77,52.4,43.37,0,143.542,62.8,96,0.00129084
493,4.82,2.81,2.41,89.96,12,7,6,224,249,32.37,34.99,32.64,0,68.06,73.56,68.66,0,210.272,81.3,96,0.00137164
