ID,gene_psi1,gene_psi2,gene_psi3,gene_psi4,gene_psi1_N,gene_psi2_N,gene_psi3_N,gene_psi4_N,gene_N,site_psi1,site_psi2,site_psi3,site_psi4,site_psi1_N,site_psi2_N,site_psi3_N,site_psi4_N,site_N,quartet_psi1,quartet_psi2,quartet_psi3,quartet_psi4,quartet_psi1_N,quartet_psi2_N,quartet_psi3_N,quartet_psi4_N,quartet_N,quartet_psi1_pp,quartet_psi2_pp,quartet_psi3_pp,length_subs_per_site,length_coalescent
287,6.36,6.94,2.31,84.39,11,12,4,146,173,25.94,51.23,22.82,0,13.58,26.87,11.94,0,52.397,41.97,29.75,28.28,0,72.61,51.47,48.92,0,173,0.97,0.02,0.01,0.00365015,0.171281
288,8.28,7.64,5.73,78.34,13,12,9,123,157,29.98,38.73,31.29,0,8.6,11.1,8.97,0,28.671,39.56,31.41,29.04,0,62.1,49.31,45.59,0,157,0.86,0.08,0.06,0.00302525,0.177344
289,10.32,8.39,8.39,72.9,16,13,13,113,155,22.85,39.91,37.24,0,8.5,14.8,13.85,0,37.15,38.54,31.23,30.23,0,59.74,48.41,46.86,0,155,0.79,0.11,0.1,0.00287042,0.176309
290,16.22,12.61,6.31,64.86,18,14,7,72,111,40.62,31.2,28.18,0,23.85,18.33,16.55,0,58.731,44.48,27.84,27.69,0,49.37,30.9,30.73,0,111,0.98,0.01,0.01,0.00339984,0.182943
291,25.88,10.59,8.24,55.29,22,9,7,47,85,56.97,23.24,19.79,0,9.2,3.77,3.22,0,16.197,48.5,26.19,25.32,0,41.22,22.26,21.52,0,85,0.99,0,0,0.00726026,0.19775
292,53.16,8.86,7.59,30.38,42,7,6,24,79,34.3,40.68,25.02,0,16.36,19.48,11.96,0,47.799,72.06,13.99,13.95,0,56.93,11.05,11.02,0,79,1,0,0,0.0137579,0.201125
293,81.61,1.15,0,17.24,71,1,0,15,87,63.2,20.23,16.57,0,44.08,14.14,11.59,0,69.812,91.94,5.5,2.56,0,79.99,4.79,2.22,0,87,1,0,0,0.0389239,0.421493
294,48.09,17.56,10.69,23.66,63,23,14,31,131,59.51,23.19,17.3,0,41.61,16.25,12.13,0,69.989,56.23,25.26,18.51,0,73.66,33.09,24.25,0,131,1,0,0,0.0127225,0.235071
295,62.03,3.74,1.6,32.62,116,7,3,61,187,51.5,28.74,19.76,0,40.45,22.64,15.57,0,78.657,78.43,14.31,7.25,0,146.67,26.77,13.56,0,187,1,0,0,0.0188888,0.384659
296,26.53,12.93,11.56,48.98,39,19,17,72,147,28.17,41.27,30.56,0,17.68,25.87,19.19,0,62.736,42.81,29.08,28.12,0,62.92,42.75,41.33,0,147,0.97,0.01,0.01,0.00499944,0.282589
297,97.52,0.62,0,1.86,157,1,0,3,161,89.68,5.91,4.41,0,224.05,14.79,11.04,0,249.878,99.04,0.8,0.17,0,159.45,1.29,0.27,0,161,1,0,0,0.0554284,1.41154
298,41.36,32.27,19.09,7.27,91,71,42,16,220,41.23,40.41,18.36,0,44.27,43.44,19.71,0,107.423,43.62,35.11,21.27,0,95.97,77.24,46.79,0,220,0.99,0.01,0,0.00422187,0.138642
299,77.45,7.66,5.11,9.79,182,18,12,23,235,92.69,5.11,2.2,0,423.42,23.36,10.04,0,456.828,80.67,12.43,6.89,0,189.58,29.22,16.2,0,235,1,0,0,0.0126215,0.53754
300,14.49,19.32,10.63,55.56,30,40,22,115,207,37.73,31.89,30.38,0,23.37,19.74,18.85,0,61.953,35.23,37.3,27.47,0,72.93,77.22,56.86,0,207,0.3,0.64,0.06,0.00240771,0.0509371
301,25.43,10.34,6.47,57.76,59,24,15,134,232,43.84,30.81,25.34,0,73.86,52.31,42.72,0,168.887,51.42,24.51,24.06,0,119.3,56.87,55.83,0,232,1,0,0,0.00607129,0.128931
